"Date","Price","Open","High","Low","Vol.","Change %"
"01/05/2022","59.800","62.000","62.000","59.600","972.55K","-4.70%"
"01/03/2022","62.750","64.000","64.000","62.100","353.73K","-4.05%"
"12/31/2021","65.400","67.000","67.050","65.400","278.44K","-2.97%"
"12/29/2021","67.400","67.200","67.500","67.100","235.66K","0.60%"
"12/28/2021","67.000","66.250","68.000","66.250","518.81K","1.13%"
"12/27/2021","66.250","66.700","66.750","66.000","352.60K","-0.75%"
"12/24/2021","66.750","66.500","67.000","66.200","204.52K","0.53%"
"12/23/2021","66.400","64.400","66.600","64.400","477.38K","3.03%"
"12/22/2021","64.450","64.500","64.600","64.000","598.84K","0.23%"
"12/21/2021","64.300","64.250","64.800","63.450","149.42K","0.39%"
"12/20/2021","64.050","64.000","65.050","63.300","665.06K","0.08%"
"12/17/2021","64.000","64.600","65.050","64.000","1.61M","-0.93%"
"12/16/2021","64.600","65.000","66.000","64.000","142.43K","-0.62%"
"12/15/2021","65.000","66.000","66.000","64.550","1.37M","-1.52%"
"12/14/2021","66.000","66.000","66.200","65.000","1.86M","-0.75%"
"12/13/2021","66.500","66.000","66.500","65.000","364.75K","0.76%"
"12/10/2021","66.000","64.900","66.000","64.900","570.61K","1.54%"
"12/09/2021","65.000","62.100","65.000","62.100","458.09K","2.36%"
"12/07/2021","63.500","63.900","64.000","63.000","83.46K","-0.63%"
"12/06/2021","63.900","63.300","64.000","63.250","343.64K","0.95%"
"12/03/2021","63.300","63.000","63.700","62.600","50.25K","-0.16%"
"12/02/2021","63.400","62.600","63.900","62.350","289.04K","0.56%"
"12/01/2021","63.050","65.400","65.400","63.000","239.42K","-5.19%"
"11/29/2021","66.500","62.000","66.500","60.150","1.43M","2.31%"
"11/26/2021","65.000","66.000","66.000","64.550","176.40K","-1.52%"
"11/25/2021","66.000","66.600","66.600","65.500","358.26K","-1.05%"
"11/24/2021","66.700","66.400","66.750","64.950","552.20K","-0.45%"
"11/23/2021","67.000","65.500","67.000","64.600","459.82K","3.08%"
"11/22/2021","65.000","63.950","65.000","63.150","994.96K","1.56%"
